EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,BrakingDistance,PerceivedRiskRating
1,2,1,80,-2,5,8
1,15,1,80,-2,5,4
1,27,1,80,-2,5,3
1,31,1,80,-2,5,7
1,35,1,80,-2,5,8
1,36,1,80,-2,5,2
1,40,1,80,-2,5,6
1,82,1,80,-2,5,7
1,85,1,80,-2,5,4
1,90,1,80,-2,5,6
1,99,1,80,-2,5,6
1,110,1,80,-2,5,2
1,115,1,80,-2,5,3
1,124,1,80,-2,5,0
1,127,1,80,-2,5,6
1,129,1,80,-2,5,7
1,137,1,80,-2,5,3
1,139,1,80,-2,5,3
1,148,1,80,-2,5,5
1,155,1,80,-2,5,6
1,156,1,80,-2,5,2
1,168,1,80,-2,5,5
1,172,1,80,-2,5,3
1,177,1,80,-2,5,7
1,181,1,80,-2,5,8
1,182,1,80,-2,5,1
1,186,1,80,-2,5,6
1,197,1,80,-2,5,3
1,206,1,80,-2,5,4
1,220,1,80,-2,5,2
1,240,1,80,-2,5,6
1,241,1,80,-2,5,5
1,249,1,80,-2,5,2
1,253,1,80,-2,5,7
1,257,1,80,-2,5,5
1,264,1,80,-2,5,8
1,275,1,80,-2,5,10
1,279,1,80,-2,5,6
1,283,1,80,-2,5,5
1,287,1,80,-2,5,2
1,290,1,80,-2,5,1
1,305,1,80,-2,5,7
1,314,1,80,-2,5,3
1,317,1,80,-2,5,8
1,328,1,80,-2,5,5
1,336,1,80,-2,5,8
1,360,1,80,-2,5,3
1,366,1,80,-2,5,3
1,373,1,80,-2,5,8
1,375,1,80,-2,5,2
1,376,1,80,-2,5,6
1,384,1,80,-2,5,7
1,389,1,80,-2,5,5
1,403,1,80,-2,5,6
1,407,1,80,-2,5,2
1,413,1,80,-2,5,6
1,421,1,80,-2,5,5
1,422,1,80,-2,5,5
1,427,1,80,-2,5,6
1,428,1,80,-2,5,8
1,449,1,80,-2,5,1
1,450,1,80,-2,5,7
1,458,1,80,-2,5,9
1,473,1,80,-2,5,5
1,483,1,80,-2,5,5
1,484,1,80,-2,5,4
1,485,1,80,-2,5,3
1,489,1,80,-2,5,3
1,496,1,80,-2,5,5
1,521,1,80,-2,5,2
1,525,1,80,-2,5,3
1,536,1,80,-2,5,7
1,540,1,80,-2,5,6
1,545,1,80,-2,5,6
1,556,1,80,-2,5,5
1,558,1,80,-2,5,7
1,575,1,80,-2,5,5
1,582,1,80,-2,5,5
1,590,1,80,-2,5,1
1,595,1,80,-2,5,3
1,618,1,80,-2,5,6
1,629,1,80,-2,5,1
1,633,1,80,-2,5,5
1,637,1,80,-2,5,8
1,641,1,80,-2,5,6
1,644,1,80,-2,5,5
1,646,1,80,-2,5,3
1,650,1,80,-2,5,5
1,651,1,80,-2,5,5
1,654,1,80,-2,5,5
1,665,1,80,-2,5,8
1,669,1,80,-2,5,4
1,679,1,80,-2,5,1
1,687,1,80,-2,5,8
1,692,1,80,-2,5,5
1,694,1,80,-2,5,8
1,703,1,80,-2,5,5
1,715,1,80,-2,5,6
1,751,1,80,-2,5,8
1,752,1,80,-2,5,3
1,753,1,80,-2,5,5
1,762,1,80,-2,5,3
1,769,1,80,-2,5,6
1,770,1,80,-2,5,4
1,783,1,80,-2,5,5
1,785,1,80,-2,5,2
1,788,1,80,-2,5,2
1,789,1,80,-2,5,5
1,804,1,80,-2,5,6
