EventNumber,ParticipantID,ClipNumber,LateralCategories,ACCCategories,MergingDistance,PerceivedRiskRating
1,21,1,1m/s,cautious,5,1
1,24,1,1m/s,cautious,5,1
1,26,1,1m/s,cautious,5,3
1,34,1,1m/s,cautious,5,4
1,40,1,1m/s,cautious,5,4
1,44,1,1m/s,cautious,5,5
1,53,1,1m/s,cautious,5,4
1,63,1,1m/s,cautious,5,2
1,66,1,1m/s,cautious,5,2
1,73,1,1m/s,cautious,5,2
1,81,1,1m/s,cautious,5,5
1,83,1,1m/s,cautious,5,5
1,92,1,1m/s,cautious,5,3
1,96,1,1m/s,cautious,5,2
1,113,1,1m/s,cautious,5,5
1,114,1,1m/s,cautious,5,2
1,130,1,1m/s,cautious,5,7
1,132,1,1m/s,cautious,5,1
1,140,1,1m/s,cautious,5,3
1,146,1,1m/s,cautious,5,3
1,151,1,1m/s,cautious,5,4
1,153,1,1m/s,cautious,5,0
1,158,1,1m/s,cautious,5,5
1,164,1,1m/s,cautious,5,2
1,165,1,1m/s,cautious,5,1
1,167,1,1m/s,cautious,5,4
1,185,1,1m/s,cautious,5,1
1,194,1,1m/s,cautious,5,1
1,204,1,1m/s,cautious,5,2
1,211,1,1m/s,cautious,5,2
1,214,1,1m/s,cautious,5,5
1,234,1,1m/s,cautious,5,3
1,239,1,1m/s,cautious,5,4
1,243,1,1m/s,cautious,5,5
1,251,1,1m/s,cautious,5,8
1,253,1,1m/s,cautious,5,5
1,254,1,1m/s,cautious,5,1
1,259,1,1m/s,cautious,5,7
1,260,1,1m/s,cautious,5,2
1,261,1,1m/s,cautious,5,2
1,270,1,1m/s,cautious,5,1
1,276,1,1m/s,cautious,5,5
1,293,1,1m/s,cautious,5,5
1,316,1,1m/s,cautious,5,2
1,317,1,1m/s,cautious,5,4
1,335,1,1m/s,cautious,5,5
1,341,1,1m/s,cautious,5,2
1,344,1,1m/s,cautious,5,2
1,349,1,1m/s,cautious,5,9
1,350,1,1m/s,cautious,5,2
1,359,1,1m/s,cautious,5,1
1,363,1,1m/s,cautious,5,2
1,379,1,1m/s,cautious,5,2
1,381,1,1m/s,cautious,5,5
1,382,1,1m/s,cautious,5,1
1,383,1,1m/s,cautious,5,2
1,392,1,1m/s,cautious,5,7
1,393,1,1m/s,cautious,5,4
1,397,1,1m/s,cautious,5,1
1,405,1,1m/s,cautious,5,5
1,406,1,1m/s,cautious,5,6
1,413,1,1m/s,cautious,5,6
1,416,1,1m/s,cautious,5,2
1,423,1,1m/s,cautious,5,3
1,457,1,1m/s,cautious,5,1
1,459,1,1m/s,cautious,5,1
1,469,1,1m/s,cautious,5,2
1,472,1,1m/s,cautious,5,3
1,474,1,1m/s,cautious,5,1
1,477,1,1m/s,cautious,5,2
1,479,1,1m/s,cautious,5,1
1,481,1,1m/s,cautious,5,2
1,482,1,1m/s,cautious,5,1
1,485,1,1m/s,cautious,5,2
1,487,1,1m/s,cautious,5,2
1,490,1,1m/s,cautious,5,4
1,492,1,1m/s,cautious,5,2
1,501,1,1m/s,cautious,5,4
1,516,1,1m/s,cautious,5,1
1,518,1,1m/s,cautious,5,8
1,519,1,1m/s,cautious,5,2
1,528,1,1m/s,cautious,5,5
1,548,1,1m/s,cautious,5,1
1,554,1,1m/s,cautious,5,4
1,569,1,1m/s,cautious,5,7
1,572,1,1m/s,cautious,5,3
1,575,1,1m/s,cautious,5,2
1,580,1,1m/s,cautious,5,2
1,581,1,1m/s,cautious,5,1
1,586,1,1m/s,cautious,5,1
1,601,1,1m/s,cautious,5,4
