EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,MergingDistance,PerceivedRiskRating
1,6,1,80,-2,5,1
1,17,1,80,-2,5,6
1,18,1,80,-2,5,1
1,27,1,80,-2,5,1
1,31,1,80,-2,5,1
1,49,1,80,-2,5,2
1,51,1,80,-2,5,2
1,53,1,80,-2,5,2
1,54,1,80,-2,5,1
1,68,1,80,-2,5,1
1,73,1,80,-2,5,1
1,76,1,80,-2,5,1
1,85,1,80,-2,5,1
1,93,1,80,-2,5,1
1,98,1,80,-2,5,1
1,99,1,80,-2,5,4
1,116,1,80,-2,5,1
1,118,1,80,-2,5,1
1,120,1,80,-2,5,1
1,126,1,80,-2,5,2
1,135,1,80,-2,5,1
1,146,1,80,-2,5,2
1,152,1,80,-2,5,1
1,153,1,80,-2,5,0
1,160,1,80,-2,5,1
1,164,1,80,-2,5,1
1,183,1,80,-2,5,2
1,185,1,80,-2,5,1
1,186,1,80,-2,5,1
1,190,1,80,-2,5,1
1,208,1,80,-2,5,0
1,215,1,80,-2,5,1
1,217,1,80,-2,5,1
1,222,1,80,-2,5,1
1,229,1,80,-2,5,1
1,248,1,80,-2,5,2
1,249,1,80,-2,5,1
1,254,1,80,-2,5,1
1,261,1,80,-2,5,1
1,267,1,80,-2,5,1
1,274,1,80,-2,5,1
1,283,1,80,-2,5,1
1,296,1,80,-2,5,2
1,314,1,80,-2,5,1
1,319,1,80,-2,5,1
1,325,1,80,-2,5,1
1,352,1,80,-2,5,2
1,370,1,80,-2,5,1
1,389,1,80,-2,5,2
1,396,1,80,-2,5,2
1,397,1,80,-2,5,1
1,404,1,80,-2,5,1
1,416,1,80,-2,5,2
1,418,1,80,-2,5,1
1,423,1,80,-2,5,1
1,428,1,80,-2,5,1
1,430,1,80,-2,5,1
1,432,1,80,-2,5,2
1,440,1,80,-2,5,2
1,443,1,80,-2,5,1
1,445,1,80,-2,5,1
1,446,1,80,-2,5,1
1,447,1,80,-2,5,1
1,456,1,80,-2,5,1
1,459,1,80,-2,5,2
1,462,1,80,-2,5,3
1,465,1,80,-2,5,0
1,476,1,80,-2,5,1
1,480,1,80,-2,5,1
1,492,1,80,-2,5,1
1,497,1,80,-2,5,3
1,499,1,80,-2,5,1
1,508,1,80,-2,5,1
1,510,1,80,-2,5,1
1,514,1,80,-2,5,1
1,523,1,80,-2,5,1
1,529,1,80,-2,5,3
1,531,1,80,-2,5,1
1,537,1,80,-2,5,4
1,543,1,80,-2,5,1
1,549,1,80,-2,5,1
1,551,1,80,-2,5,1
1,561,1,80,-2,5,2
1,562,1,80,-2,5,1
1,569,1,80,-2,5,3
1,573,1,80,-2,5,1
1,578,1,80,-2,5,2
1,595,1,80,-2,5,2
1,610,1,80,-2,5,1
1,613,1,80,-2,5,1
1,623,1,80,-2,5,1
1,635,1,80,-2,5,1
1,649,1,80,-2,5,3
1,659,1,80,-2,5,2
1,661,1,80,-2,5,1
1,665,1,80,-2,5,2
1,667,1,80,-2,5,1
1,670,1,80,-2,5,1
1,671,1,80,-2,5,1
1,675,1,80,-2,5,2
1,687,1,80,-2,5,1
1,700,1,80,-2,5,1
1,711,1,80,-2,5,1
1,722,1,80,-2,5,1
1,729,1,80,-2,5,1
1,735,1,80,-2,5,2
1,736,1,80,-2,5,4
1,739,1,80,-2,5,2
1,747,1,80,-2,5,1
1,752,1,80,-2,5,1
1,753,1,80,-2,5,1
1,754,1,80,-2,5,0
1,765,1,80,-2,5,4
1,766,1,80,-2,5,1
1,768,1,80,-2,5,1
1,769,1,80,-2,5,1
1,773,1,80,-2,5,1
1,785,1,80,-2,5,1
1,797,1,80,-2,5,2
1,815,1,80,-2,5,1
1,816,1,80,-2,5,1
1,819,1,80,-2,5,1
1,821,1,80,-2,5,6
1,822,1,80,-2,5,1
1,825,1,80,-2,5,1
1,829,1,80,-2,5,1
1,852,1,80,-2,5,1
1,857,1,80,-2,5,1
1,858,1,80,-2,5,2
1,860,1,80,-2,5,1
1,879,1,80,-2,5,2
1,880,1,80,-2,5,1
1,881,1,80,-2,5,1
1,890,1,80,-2,5,1
1,891,1,80,-2,5,1
1,900,1,80,-2,5,1
1,901,1,80,-2,5,2
1,903,1,80,-2,5,1
1,931,1,80,-2,5,1
1,934,1,80,-2,5,1
1,939,1,80,-2,5,1
1,948,1,80,-2,5,1
1,963,1,80,-2,5,3
1,967,1,80,-2,5,1
1,970,1,80,-2,5,2
1,971,1,80,-2,5,3
1,972,1,80,-2,5,1
1,993,1,80,-2,5,1
1,994,1,80,-2,5,1
1,999,1,80,-2,5,3
1,1006,1,80,-2,5,2
1,1007,1,80,-2,5,1
1,1008,1,80,-2,5,2
1,1011,1,80,-2,5,1
1,1015,1,80,-2,5,1
1,1031,1,80,-2,5,1
1,1052,1,80,-2,5,1
1,1054,1,80,-2,5,1
1,1057,1,80,-2,5,1
1,1061,1,80,-2,5,1
1,1069,1,80,-2,5,1
1,1077,1,80,-2,5,1
1,1078,1,80,-2,5,1
1,1084,1,80,-2,5,1
1,1093,1,80,-2,5,1
1,1101,1,80,-2,5,2
1,1113,1,80,-2,5,1
1,1132,1,80,-2,5,1
1,1145,1,80,-2,5,1
1,1156,1,80,-2,5,1
1,1158,1,80,-2,5,2
1,1160,1,80,-2,5,1
1,1164,1,80,-2,5,1
1,1173,1,80,-2,5,1
1,1174,1,80,-2,5,1
1,1185,1,80,-2,5,1
1,1197,1,80,-2,5,1
1,1200,1,80,-2,5,1
1,1217,1,80,-2,5,1
1,1218,1,80,-2,5,1
1,1219,1,80,-2,5,2
1,1223,1,80,-2,5,2
1,1229,1,80,-2,5,1
1,1232,1,80,-2,5,0
1,1246,1,80,-2,5,1
1,1253,1,80,-2,5,2
1,1256,1,80,-2,5,2
1,1257,1,80,-2,5,1
1,1259,1,80,-2,5,2
1,1263,1,80,-2,5,2
1,1265,1,80,-2,5,3
1,1267,1,80,-2,5,1
1,1285,1,80,-2,5,5
1,1301,1,80,-2,5,2
1,1320,1,80,-2,5,1
1,1326,1,80,-2,5,1
1,1328,1,80,-2,5,2
1,1345,1,80,-2,5,1
1,1353,1,80,-2,5,0
1,1354,1,80,-2,5,1
1,1368,1,80,-2,5,1
1,1371,1,80,-2,5,1
1,1373,1,80,-2,5,1
1,1381,1,80,-2,5,1
1,1392,1,80,-2,5,1
1,1394,1,80,-2,5,1
1,1403,1,80,-2,5,7
1,1409,1,80,-2,5,1
1,1416,1,80,-2,5,1
1,1425,1,80,-2,5,1
1,1430,1,80,-2,5,1
1,1439,1,80,-2,5,2
1,1453,1,80,-2,5,1
1,1454,1,80,-2,5,1
1,1469,1,80,-2,5,1
1,1472,1,80,-2,5,2
1,1479,1,80,-2,5,1
1,1480,1,80,-2,5,3
1,1487,1,80,-2,5,3
1,1492,1,80,-2,5,1
1,1496,1,80,-2,5,2
1,1519,1,80,-2,5,1
1,1520,1,80,-2,5,1
1,1529,1,80,-2,5,1
1,1540,1,80,-2,5,1
1,1546,1,80,-2,5,1
1,1547,1,80,-2,5,4
1,1551,1,80,-2,5,1
1,1554,1,80,-2,5,1
1,1572,1,80,-2,5,1
1,1578,1,80,-2,5,1
1,1579,1,80,-2,5,1
1,1587,1,80,-2,5,1
1,1588,1,80,-2,5,1
1,1599,1,80,-2,5,2
1,1606,1,80,-2,5,1
1,1611,1,80,-2,5,2
1,1613,1,80,-2,5,1
1,1617,1,80,-2,5,1
1,1632,1,80,-2,5,1
1,1641,1,80,-2,5,1
1,1644,1,80,-2,5,1
1,1646,1,80,-2,5,1
1,1666,1,80,-2,5,1
1,1673,1,80,-2,5,1
1,1676,1,80,-2,5,2
1,1680,1,80,-2,5,1
1,1684,1,80,-2,5,1
1,1692,1,80,-2,5,1
1,1705,1,80,-2,5,1
1,1707,1,80,-2,5,1
1,1712,1,80,-2,5,2
1,1722,1,80,-2,5,1
1,1736,1,80,-2,5,1
1,1741,1,80,-2,5,1
1,1742,1,80,-2,5,1
1,1749,1,80,-2,5,2
1,1755,1,80,-2,5,2
1,1769,1,80,-2,5,2
1,1774,1,80,-2,5,1
1,1786,1,80,-2,5,1
1,1789,1,80,-2,5,1
1,1794,1,80,-2,5,2
1,1808,1,80,-2,5,1
1,1811,1,80,-2,5,1
1,1815,1,80,-2,5,2
1,1820,1,80,-2,5,1
1,1826,1,80,-2,5,1
1,1837,1,80,-2,5,1
1,1840,1,80,-2,5,1
1,1844,1,80,-2,5,1
1,1856,1,80,-2,5,2
1,1862,1,80,-2,5,2
1,1871,1,80,-2,5,1
1,1878,1,80,-2,5,3
1,1882,1,80,-2,5,1
1,1888,1,80,-2,5,1
