EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,MergingDistance,PerceivedRiskRating
1,6,1,80,-2,5,3
1,8,1,80,-2,5,3
1,13,1,80,-2,5,1
1,19,1,80,-2,5,6
1,27,1,80,-2,5,3
1,28,1,80,-2,5,1
1,41,1,80,-2,5,1
1,54,1,80,-2,5,3
1,64,1,80,-2,5,6
1,65,1,80,-2,5,3
1,67,1,80,-2,5,2
1,68,1,80,-2,5,2
1,70,1,80,-2,5,4
1,80,1,80,-2,5,1
1,82,1,80,-2,5,5
1,85,1,80,-2,5,1
1,114,1,80,-2,5,6
1,115,1,80,-2,5,1
1,123,1,80,-2,5,1
1,124,1,80,-2,5,0
1,128,1,80,-2,5,1
1,131,1,80,-2,5,3
1,138,1,80,-2,5,1
1,144,1,80,-2,5,1
1,146,1,80,-2,5,2
1,166,1,80,-2,5,2
1,188,1,80,-2,5,3
1,190,1,80,-2,5,2
1,197,1,80,-2,5,1
1,213,1,80,-2,5,5
1,218,1,80,-2,5,1
1,232,1,80,-2,5,3
1,236,1,80,-2,5,0
1,258,1,80,-2,5,1
1,281,1,80,-2,5,1
1,299,1,80,-2,5,1
1,304,1,80,-2,5,0
1,314,1,80,-2,5,3
1,316,1,80,-2,5,2
1,329,1,80,-2,5,3
1,343,1,80,-2,5,1
1,353,1,80,-2,5,3
1,355,1,80,-2,5,1
1,360,1,80,-2,5,1
1,363,1,80,-2,5,1
1,375,1,80,-2,5,2
1,379,1,80,-2,5,2
1,396,1,80,-2,5,2
1,401,1,80,-2,5,1
1,420,1,80,-2,5,1
1,421,1,80,-2,5,3
1,433,1,80,-2,5,2
1,436,1,80,-2,5,2
1,443,1,80,-2,5,3
1,446,1,80,-2,5,2
1,449,1,80,-2,5,1
1,464,1,80,-2,5,1
1,467,1,80,-2,5,2
1,475,1,80,-2,5,3
1,492,1,80,-2,5,4
1,493,1,80,-2,5,1
1,500,1,80,-2,5,6
1,503,1,80,-2,5,4
1,506,1,80,-2,5,1
1,510,1,80,-2,5,2
1,523,1,80,-2,5,1
1,529,1,80,-2,5,3
1,538,1,80,-2,5,3
1,547,1,80,-2,5,1
1,554,1,80,-2,5,3
1,578,1,80,-2,5,2
1,582,1,80,-2,5,1
1,583,1,80,-2,5,2
1,599,1,80,-2,5,5
1,604,1,80,-2,5,6
1,607,1,80,-2,5,3
1,616,1,80,-2,5,3
1,625,1,80,-2,5,1
1,647,1,80,-2,5,1
1,655,1,80,-2,5,2
1,659,1,80,-2,5,2
1,671,1,80,-2,5,3
1,672,1,80,-2,5,3
1,676,1,80,-2,5,1
1,690,1,80,-2,5,2
1,701,1,80,-2,5,1
1,703,1,80,-2,5,1
1,704,1,80,-2,5,3
1,714,1,80,-2,5,1
1,720,1,80,-2,5,2
1,722,1,80,-2,5,1
1,744,1,80,-2,5,4
1,746,1,80,-2,5,1
1,759,1,80,-2,5,3
1,761,1,80,-2,5,3
1,762,1,80,-2,5,2
1,767,1,80,-2,5,1
1,768,1,80,-2,5,1
1,772,1,80,-2,5,1
1,773,1,80,-2,5,1
1,782,1,80,-2,5,1
1,784,1,80,-2,5,2
1,809,1,80,-2,5,1
1,811,1,80,-2,5,1
1,820,1,80,-2,5,3
1,823,1,80,-2,5,1
1,832,1,80,-2,5,1
1,835,1,80,-2,5,7
1,848,1,80,-2,5,2
1,851,1,80,-2,5,5
1,855,1,80,-2,5,3
1,862,1,80,-2,5,1
1,863,1,80,-2,5,3
1,885,1,80,-2,5,1
1,889,1,80,-2,5,2
1,893,1,80,-2,5,1
1,901,1,80,-2,5,2
1,908,1,80,-2,5,0
1,913,1,80,-2,5,2
1,930,1,80,-2,5,1
1,935,1,80,-2,5,1
1,943,1,80,-2,5,2
1,955,1,80,-2,5,1
1,971,1,80,-2,5,2
1,977,1,80,-2,5,5
1,988,1,80,-2,5,6
1,990,1,80,-2,5,3
1,1007,1,80,-2,5,1
1,1021,1,80,-2,5,5
1,1023,1,80,-2,5,1
1,1028,1,80,-2,5,2
1,1031,1,80,-2,5,1
1,1051,1,80,-2,5,1
1,1061,1,80,-2,5,5
1,1063,1,80,-2,5,0
1,1068,1,80,-2,5,1
1,1074,1,80,-2,5,3
1,1079,1,80,-2,5,1
1,1094,1,80,-2,5,2
1,1097,1,80,-2,5,1
1,1116,1,80,-2,5,2
1,1118,1,80,-2,5,1
1,1123,1,80,-2,5,3
1,1126,1,80,-2,5,3
1,1138,1,80,-2,5,3
1,1149,1,80,-2,5,6
1,1150,1,80,-2,5,1
1,1168,1,80,-2,5,1
1,1172,1,80,-2,5,7
1,1180,1,80,-2,5,3
1,1181,1,80,-2,5,1
1,1184,1,80,-2,5,2
1,1194,1,80,-2,5,2
1,1195,1,80,-2,5,6
1,1198,1,80,-2,5,2
1,1205,1,80,-2,5,1
1,1211,1,80,-2,5,5
1,1216,1,80,-2,5,3
1,1227,1,80,-2,5,1
1,1234,1,80,-2,5,1
1,1235,1,80,-2,5,1
1,1245,1,80,-2,5,1
1,1260,1,80,-2,5,1
1,1263,1,80,-2,5,2
1,1269,1,80,-2,5,4
1,1290,1,80,-2,5,3
1,1298,1,80,-2,5,1
1,1303,1,80,-2,5,1
1,1308,1,80,-2,5,1
1,1321,1,80,-2,5,1
1,1329,1,80,-2,5,1
1,1345,1,80,-2,5,2
1,1347,1,80,-2,5,3
1,1352,1,80,-2,5,5
1,1358,1,80,-2,5,1
1,1374,1,80,-2,5,1
1,1379,1,80,-2,5,1
1,1385,1,80,-2,5,1
1,1391,1,80,-2,5,1
1,1401,1,80,-2,5,3
1,1412,1,80,-2,5,1
1,1432,1,80,-2,5,1
1,1441,1,80,-2,5,2
1,1446,1,80,-2,5,3
1,1457,1,80,-2,5,6
1,1464,1,80,-2,5,1
1,1473,1,80,-2,5,2
1,1497,1,80,-2,5,1
1,1515,1,80,-2,5,4
1,1525,1,80,-2,5,1
1,1532,1,80,-2,5,2
1,1536,1,80,-2,5,2
1,1539,1,80,-2,5,1
1,1555,1,80,-2,5,1
1,1563,1,80,-2,5,7
1,1566,1,80,-2,5,1
1,1576,1,80,-2,5,3
1,1578,1,80,-2,5,2
1,1586,1,80,-2,5,1
1,1589,1,80,-2,5,1
1,1594,1,80,-2,5,3
